Kanji,Meaning,ToPronounce,WellKnown
火を付ける,to turn on the lights,ひをつける,0
火をけす,to turn off the lights,ひをけす,0
月ようび,Monday,げつようび,0
火ようび,Tuesday,かようび,1
水ようび,Wednesday,すいようび,0
木ようび,Thursday,もちようび,0
金ようび,Friday,きんようび,0
土ようび,Saturday,どようび,0
日ようび,Sunday,にちようび,1
お金もち,rich person​,おかねもち,0
大人,adult,"おとな ",0
人口,population,じんこう,0
目,eye,め,0
耳,ear,みみ,0
手をかして下さい,to land a hand,てをかしてください,0
か手,singer,かしゅ,0
足,leg,あし,0
足が早い,swift leg,あしがはやい,0
お金が足りません,not enough money,おかねがたりません,0
靴下二足あります,there are 2 socks,くつしたがにそくあります,0
力,"might, power",ちから,0
人力車,rikishya,"じんりきしゃ ",0
,travel; trip; journey; excursion; tour​,"りょこう ",0
,purpose; goal; aim,もくてき,0
,to wash; to cleanse; to rinse​,あらう、あらいます,0
,to collect,あつめる、あつめます,0
,to throw away,すてる、すてます,0
,to stop an activity;　to give up,やめる、やめます,0
,to exchange; to interchange,かえる、かえます,0
,reservation; appointment; booking,よやく,0
,hobby,しゅみ,0
,animal,どうぶつ,0
,horse,うま,0
中々,very; considerably,なかなか,0
,certainly; without fail​,ぜひ,0
