Kanji,ToPronounce,Meaning,WellKnown
火よび,かようび,Tuesday
花火,はなび,fireworks
火を付ける,ひをつける,turn the lights on
火をかす,ひをけす,turn the lights off
水,みず,water
水ようび,すようび,wednessday
お金,おかね,money
お金もち,おかねもち,richman
金,きん,gold
金ようび,きんようび,Friday
人,ひと,man
一人,ひとり,one man
二人,ふたり,two people
三人,さんにん,three people
がいこく人,がいこくじん,foreigner
日本人,にほんじん,japanese person
人口,じんこう,population
大人,おとな,adult
口,くち,mouth
目,め,eye
一ばん目,いちばんめ,first
目てき,もくてき,goal
耳,みみ,ear
耳がわるい,みみがわるい,bad hearing
手,て,hand
か手,かしゅ,singer
手をかす,てをかす,land a hand
足,あし,leg
足が早い,あしがはやい,swift leg
足りる,たりる,to have plenty
お金が足りまん,おかねがたりません,don't have enough money
くつが二足あります,くつがにそくあります,have 2 pairs of shoes
力,ちから,"power, might"
人力車, じんりきしゃ,rikisha
